path	expectation	rule_id	syntax	profile	source
valid/xr-01.01a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-01.05a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-01.09a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-01.12a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-01.15a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-01.18a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-02.01a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-02.04a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-03.01a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-03.05a_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite business-cases/standard
valid/xr-cius-comprehensive_ubl.xml	valid	-	UBL-Invoice	xrechnung_3.0	itplr-kosit/xrechnung-testsuite technical-cases/cius
valid/cen-bis3-positive_ubl.xml	valid	-	UBL-Invoice	peppol-bis-3.0	ConnectingEurope/eInvoicing-EN16931 ubl/examples
invalid/BR-01.xml	invalid	BR-01	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-02.xml	invalid	BR-02	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-03.xml	invalid	BR-03	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-04.xml	invalid	BR-04	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-05.xml	invalid	BR-05	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-06.xml	invalid	BR-06	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-07.xml	invalid	BR-07	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-08.xml	invalid	BR-08	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-16.xml	invalid	BR-16	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-21.xml	invalid	BR-21	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-22.xml	invalid	BR-22	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-24.xml	invalid	BR-24	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-25.xml	invalid	BR-25	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-26.xml	invalid	BR-26	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-27.xml	invalid	BR-27	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-28.xml	invalid	BR-28	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-29.xml	invalid	BR-29	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-30.xml	invalid	BR-30	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-CL-01.xml	invalid	BR-CL-01	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-CO-04.xml	invalid	BR-CO-04	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
invalid/BR-CO-10.xml	invalid	BR-CO-10	UBL-Invoice	en16931	ConnectingEurope/eInvoicing-EN16931 test/Invoice-unit-UBL
